nodes	Ultimate-fixpoint	Ultimate-all	pasttel	label	Stem Size	Loop Size	Total Size Trace	Algo
313	3.17	3.17	1.00	NONTERMINATING	108	59	167	Fixpoint / Fixpoint
314	3.29	3.29	2.00	NONTERMINATING	104	34	138	Fixpoint / Fixpoint
315	2.86	2.86	1.00	NONTERMINATING	64	21	85	Fixpoint / Fixpoint
316	1.64	1.64	1.00	NONTERMINATING	95	28	123	Fixpoint / Fixpoint
317	3.25	3.25	1.00	NONTERMINATING	44	21	65	Fixpoint / Fixpoint
318	3.02	3.02	1.00	NONTERMINATING	44	21	65	Fixpoint / Fixpoint
319	4.96	4.96	25.00	NONTERMINATING	11	1	12	Fixpoint / Fixpoint
320	5.45	5.45	181.00	NONTERMINATING	11	1	12	Fixpoint / Fixpoint
321	3.50	3.50	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
322	1.35	1.35	2.00	NONTERMINATING	48	8	56	Fixpoint / Fixpoint
